,gene,mip_case,mip_case_lof,mip_case_mis30,exac_lof,exac_mis30,Fisher_LGDp,Fisher_MIS30p,Fisher_LGDq,Fisher_MIS30q
79,EEF1A2,16294,0,3,0,2,1,0.119061199191152,1,0.330725553308756
80,EIF3B,16294,0,4,0,13,1,0.695272561956083,1,0.856632029661745
81,ENO3,16294,11,20,22,29,0.236182682938936,0.0198791776546856,0.398957234694149,0.119434317543877
82,FOXP2,16294,2,0,5,2,0.589787835362275,1,0.730175160605284,1
83,GABRG2,16294,2,3,2,7,0.285912891428428,0.51663883674419,0.425465612244685,0.70966873179147
84,GATAD2B,16294,2,4,2,10,0.285912891428428,0.528166597516774,0.425465612244685,0.71761765966953
85,H1-4,16294,1,0,5,0,0.841337011564966,1,0.947451589600187,1
86,H2AC6,16294,0,1,2,2,1,0.601664332338754,1,0.773522916759532
87,HNRNPF,16294,1,0,3,0,0.706914812642195,1,0.84124431515944,1
88,HNRNPK,16294,1,1,0,2,0.264212745257013,0.601664332338754,0.407735717989218,0.773522916759532
89,HNRNPR,16294,0,2,1,7,1,0.732537708505066,1,0.889002073428478
90,HNRNPU,16294,8,0,2,0,0.000625727345314679,1,0.00450669131280406,1
91,HNRNPUL1,16294,1,2,1,3,0.458620268141805,0.397147352919946,0.623125364323105,0.605407550182845
92,KANSL1,16294,7,11,6,16,0.0325739561379067,0.0748980610668046,0.0827455188043671,0.260062712037516
93,KAT6A,16294,8,7,3,24,0.00175990307951338,0.748680596522029,0.00869301391712366,0.891286424430987
94,KAT6B,16294,5,15,3,22,0.0344221358226167,0.0431499902511403,0.0827455188043671,0.192633885049733
95,KCNQ3,16294,1,12,8,13,0.936805497304664,0.0167799327098695,1,0.118307433156728
96,NEXMIF,16294,6,3,2,3,0.00570669134959215,0.192532043536397,0.0216162551120915,0.423797602755483
97,KIF5C,16294,9,6,16,11,0.19231824813497,0.27974477788216,0.339823418359656,0.489576868884295
98,LEO1,16294,2,11,3,15,0.397147352919946,0.057733953385252,0.55779122601116,0.237634330268197
99,MAPK3,16294,1,6,2,11,0.601664332338754,0.27974477788216,0.730175160605284,0.489576868884295
100,MEF2C,16294,3,2,8,2,0.587945689215974,0.285912891428428,0.730175160605284,0.489576868884295
101,MEF2D,16294,0,6,1,21,1,0.756318540874165,1,0.891885071785572
102,MEIS2,16294,1,0,4,2,0.784356677572758,1,0.89131440633268,1
